net1,sta1,lat1,lon1,net2,sta2,lat2,lon2,4hrWnd,distance_km,result
XK,Q05MJ,-13.395,36.126,XV,SENA,-17.445,35.032,1705,463.2672812,1
XB,PM25,32.876,-4.888,XB,PS13,37.057,-4.75,8657,464.0116996,1
XB,PM24,32.995,-4.898,XB,PS14,37.148,-5.518,9878,464.1959305,1
XB,PM31A,32.719,-4.739,3D,MM12,30.405,-8.827,9680,465.1892239,2
ZV,NINA,-7.689,30.724,YQ,BAKO,-8.844,34.802,4257,467.0725846,1
1C,KAPD,1.185,36.105,XJ,PR61,-2.959,35.248000000000005,2277,468.0421297,2
ZF,MISE,9.237,40.759,ZF,SMRE,13.198,39.211,4884,469.6208143999999,2
XB,CM25,6.76,11.811,XB,CM05,2.942,9.914,3388,471.7173096,2
AF,ANKE,9.583,39.742,2H,HALE,13.842,40.008,5467,472.0239154,1
XB,PM09,35.027,-5.114,3D,MM02,31.232,-7.422000000000001,4697,472.753104,1
XB,PM07,35.228,-4.986000000000001,XB,PM35,31.046,-3.996,12034,472.9138119,2
XB,PS48,36.901,-3.727,XB,PM31A,32.719,-4.739,8316,473.0800847,1
AF,IFE,7.547000000000001,4.457,AF,KAD,10.43,7.64,2266,473.4461008,2
XA,SA38,-25.933000000000003,25.085,XA,SA53,-24.113000000000003,29.333,2607,473.7475473,1
XB,PM13,34.672,-4.935,3D,MM06,30.508000000000003,-6.066,7997,473.8155453,2
YJ,BORE,8.746,39.554,G,ATD,11.53,42.847,4939,474.3795081,1
XB,PS15,37.141,-4.503,XB,PM25,32.876,-4.888,9009,474.4647262,1
ZV,CHAA,-7.591,31.27,YQ,MUDI,-9.862,34.937,3245,475.276085,1
XD,MTOR,-5.251,35.401,XD,PAND,-8.984,33.242,3344,476.7563787,2
XJ,NG56,-3.096,35.409,AF,TEBE,0.054,32.483000000000004,6457,476.7752893,1
XB,PM22B,33.308,-5.102,3D,MM12,30.405,-8.827,8052,477.3139514,2
XK,Z11CP,-13.564,32.589,AF,KTWE,-12.814,28.209,1562,481.9868559,1
XB,PM31,32.706,-4.72,XB,PS13,37.057,-4.75,1397,482.7016126,2
XB,PM08,35.145,-4.708,PM,PESTR,38.867,-7.59,9152,486.1570747,2
